Image Name,No of Obj,WARem_multiband,N-Cut,RAG Merging
0677845-r1-067-32_a,1,0.4338,0.4133,0.5473
100_0109,1,0.8769,0.3797,0.3118
100_0497,1,0.3236,0.2653,0.2553
110016671724,1,0.4323,0.1616,0.1151
112255696146,1,0.3916,0.4443,0.3566
113334665744,1,0.7122,0.4106,0.3593
114591144943,1,0.6078,0.2774,0.2005
20060319_087,1,0.2516,0.1028,0.1498
aaa,1,0.256,0.2339,0.142
animal_5_bg_020803,1,0.3608,0.3222,0.2797
b14pavel013,1,0.304,0.0457,0.255
b19objects118,1,0.2601,0.2643,0.2651
b1chesnuttame,1,0.2526,0.2727,0.2913
b1snake001,1,0.2621,0.2251,0.2088
b20nature_landscapes129,1,0.2997,0.4133,0.3648
b2chopper008,1,0.634,0.6261,0.3063
b2pods001,1,0.1688,0.3281,0.2879
b4nature_animals_land009,1,0.0756,0.0108,0.1215
b7nature_trees002,1,0.3614,0.3649,0.3238
bbmf_lancaster_july_06,1,0.7319,0.6528,0.2354
beltaine_4_bg_050502,1,0.7957,0.2152,0.1966
boy_float_lake,1,0.3403,0.2416,0.1018
bream_in_basin,1,0.8929,0.906,0.5068
broom07,1,0.2804,0.6722,0.5881
buggy_005,1,0.2566,0.2253,0.2299
bw4,1,0.5271,0.5684,0.5455
carriage,1,0.2012,0.2114,0.2791
carrigafoyle_castle_ext,1,0.2814,0.2965,0.2751
caterpiller,1,0.2691,0.0858,0.1993
chain98,1,0.9567,0.6978,0.5793
chaom38,1,0.294,0.1412,0.1662
cheeky_penguin,1,0.2432,0.2422,0.2549
crw_0384,1,0.3757,0.1166,0.2603
culzeancastle,1,0.3614,0.3678,0.3368
dsc01236,1,0.0398,0.2751,0.4103
dsc01239_d,1,0.0757,0.098,0.2794
dsc04575,1,0.885,0.8527,0.27
dscf0034_l,1,0.1867,0.0811,0.19
dscf0459,1,0.3292,0.0776,0.3163
dscf3583,1,0.3543,0.5087,0.3484
dscf3623,1,0.4077,0.1072,0.1507
dscf3772,1,0.0933,0.4565,0.3964
dscn0756,1,0.1252,0.2096,0.2005
dscn1908,1,0.4716,0.4696,0.4097
dscn2064,1,0.4863,0.5966,0.3566
dscn2154,1,0.1372,0.1517,0.1485
dscn6805,1,0.263,0.4173,0.3867
dsc_0769,1,0.5041,0.1229,0.2509
dsc_0959,1,0.486,0.2598,0.3244
dsc_422910022,1,0.5066,0.7103,0.4853
egret_face,1,0.7787,0.6903,0.6022
estb_img_6461_,1,0.609,0.6164,0.5302
europe_holiday_484,1,0.7238,0.7292,0.6175
fullicewater,1,0.1547,0.3465,0.3544
hot_air_balloons_05,1,0.5129,0.4215,0.3585
hpim1242,1,0.1969,0.2841,0.1654
hpim5083_morguefile,1,0.3898,0.2858,0.4306
imagen_072__1_,1,0.761,0.5679,0.4828
imgp2712,1,0.3497,0.3556,0.2498
img_1516,1,0.3918,0.2257,0.2165
img_1965,1,0.6495,0.5152,0.391
img_2528,1,0.2792,0.3211,0.3455
img_2577,1,0.5739,0.0868,0.238
img_2592_f,1,0.4596,0.1692,0.2298
img_3083_modif,1,0.5098,0.3185,0.3161
img_3803,1,0.2494,0.2601,0.2377
img_4214,1,0.2123,0.329,0.305
img_4730_modif,1,0.3077,0.3313,0.2195
img_7359_copia,1,0.7209,0.6988,0.5777
ireland_62_bg_061502,1,0.0756,0.0722,0.1114
kconnors030466,1,0.3352,0.5009,0.5204
leafpav,1,0.5609,0.6434,0.4339
london_zoo3,1,0.1479,0.4002,0.3893
matsumt060102_dyj08,1,0.305,0.2425,0.2252
mexico3,1,0.3469,0.1859,0.3038
moth061304_0679,1,0.756,0.789,0.4221
nitpix_p1280114,1,0.9081,0.8032,0.7198
osaka060102_dyjsn071,1,0.6536,0.6323,0.5456
oscar2005_05_07,1,0.591,0.5464,0.4542
outside_guggenheim_walls,1,0.9569,0.0843,0.8309
palovigna,1,0.5046,0.5733,0.5238
pic0203vn0092,1,0.3865,0.4091,0.4578
pic0203vn0105,1,0.6516,0.5231,0.509
pic106470172014,1,0.1007,0.2217,0.2875
pic1080629574,1,0.3619,0.0831,0.3792
pic109250805856,1,0.7436,0.293,0.2464
pic1092515922117,1,0.4915,0.3434,0.229
pict2272,1,0.5943,0.762,0.3131
pict2605,1,0.5326,0.3537,0.2862
picture_458,1,0.318,0.6651,0.2817
postjp,1,0.293,0.377,0.3126
redberry_rb03,1,0.7469,0.3918,0.2967
san_andres_130,1,0.4776,0.2181,0.2318
sg_01_img_1943_tratada,1,0.4384,0.3776,0.3523
sharp_image,1,0.4173,0.3941,0.3552
skookumchuk_starfish1,1,0.2538,0.0717,0.2208
snow2_004,1,0.512,0.2815,0.2426
tendrils,1,0.2366,0.3132,0.1473
windowcn_0078,1,0.2909,0.4579,0.4292
yokohm060409_dyjsn191,1,0.7587,0.1643,0.2293
00000155,2,0.2615,0.1987,0.1519
000_4009,2,0.1809,0.1075,0.219
100_1219,2,0.8278,0.5174,0.5174
109300481333,2,0.8113,0.6552,0.5142
110932821430,2,0.5291,0.0237,0.3493
111876273311,2,0.7497,0.5269,0.4632
112224059330,2,0.4571,0.7788,0.6469
11257554021,2,0.5748,0.3872,0.3711
2_horses_cropped,2,0.2563,0.3753,0.394
77200701,2,0.3441,0.2772,0.2245
alanmort_p1010058,2,0.7515,0.754,0.5223
atlasredstone,2,0.5338,0.7912,0.3515
b10mechanics037,2,0.8886,0.7725,0.5453
b10nature_trees000,2,0.7938,0.5686,0.468
b13vehicles_land000,2,0.4302,0.2861,0.4657
b17leon000,2,0.0717,0.3525,0.0
b17maartent719,2,0.1967,0.7574,0.5352
b17maartent850,2,0.2985,0.3179,0.3423
b17paul1444,2,0.6417,0.503,0.4276
b19nature_trees071,2,0.6855,0.5113,0.3455
b20vehicles_water065,2,0.2135,0.5758,0.2028
b7nature_animals_sea000,2,0.4492,0.5229,0.4258
b8vehicles_water015,2,0.7377,0.1919,0.2233
b9vehicles_air015,2,0.6546,0.6046,0.5668
b9vehicles_air016,2,0.327,0.4559,0.4559
b9vehicles_air018_cropped,2,0.4953,0.3447,0.3015
babyandmom,2,0.6303,0.858,0.3703
birdhouse_003,2,0.2348,0.4195,0.3857
bi_planes,2,0.617,0.4576,0.1285
black_and_white,2,0.5937,0.1266,0.1518
black_an_white,2,0.3301,0.2191,0.2215
boatscn2174,2,0.7922,0.6219,0.3505
by_the_north_sea15,2,0.6507,0.6721,0.4521
chaom69,2,0.8104,0.7784,0.7628
cocotort,2,0.3771,0.3936,0.3351
crw_5052,2,0.4887,0.343,0.2096
decorwall,2,0.6421,0.5184,0.4636
dsc00103_h,2,0.215,0.5154,0.8213
dscf1479_c,2,0.7217,0.5248,0.4817
dscf3208a,2,0.3539,0.6907,0.6216
dscn0969,2,0.62,0.3704,0.4093
dscn1205_cropped,2,0.9265,0.8026,0.4638
dscn5449,2,0.6653,0.5739,0.4162
dsc_18501299,2,0.8409,0.8584,0.8584
dsc_7742,2,0.3647,0.7009,0.6619
dualwindows,2,0.4385,0.2221,0.2164
eagle052607__20_,2,0.7866,0.6308,0.6308
elke_p9270005,2,0.4218,0.4065,0.3826
fair_gforce_003,2,0.7566,0.4048,0.3969
fishing_on_water,2,0.3086,0.1171,0.0828
footprints10morguejpg,2,0.6714,0.4914,0.6277
frankfurt_img_2243,2,0.4226,0.3444,0.3166
frosty_thyme,2,0.1903,0.237,0.2746
hotblack_20070901_cows,2,0.5439,0.4205,0.5312
hpim0242_cropped,2,0.0719,0.6208,0.2376
hpim1928,2,0.4289,0.1241,0.3166
imgp1883,2,0.4005,0.1267,0.1189
img_0121,2,0.6667,0.5085,0.4942
img_1159_i,2,0.1648,0.464,0.1437
img_3733_modif,2,0.6798,0.5005,0.1487
img_7103r,2,0.4721,0.474,0.4911
img_7121sepiar,2,0.8282,0.5967,0.4829
istambulminaret,2,0.4798,0.5422,0.3787
jarndt_100_0021,2,0.5401,0.226,0.4121
kata_beach_phuket,2,0.8323,0.3378,0.2603
kumarnm_100_1263,2,0.015,0.0232,0.0333
mf_3379,2,0.6791,0.3778,0.4406
mont_st_michel,2,0.7553,0.4271,0.351
moon_and_a_tree,2,0.505,0.423,0.4661
ninetyeight,2,0.8145,0.7909,0.7464
nopeeking,2,0.1042,0.5352,0.5078
p5014757_cropped,2,0.7187,0.5678,0.4715
p5067537,2,0.3807,0.6245,0.5788
pb134930,2,0.609,0.2396,0.1636
pc250176,2,0.3618,0.1696,0.1538
pc302982,2,0.9376,0.8468,0.6966
per__02_cropped,2,0.6012,0.5897,0.238
photo-026,2,0.5114,0.8155,0.5218
photo_sanary_19-03-05_083,2,0.7951,0.5463,0.4063
pic1077114394,2,0.8533,0.7917,0.6613
pic108459418417,2,0.7547,0.8726,0.8544
pic108891392790,2,0.678,0.5326,0.4496
pic1091719254143,2,0.0859,0.0012,0.0426
pic1092554512177,2,0.5045,0.3446,0.3303
reverendb_563667_59178524,2,0.8263,0.9127,0.8078
rollingroscoe__9231871,2,0.7618,0.5679,0.3116
roman-pot-31-01-07-02842,2,0.3683,0.3133,0.2506
sakurag060521_dysn34,2,0.874,0.7619,0.6266
sh-med-bandages-082404-01,2,0.8133,0.888,0.888
sunday_6-24_003,2,0.7898,0.8714,0.8714
swan_and_friend,2,0.4671,0.3217,0.3057
thailand-bangkok-building_02,2,0.9368,0.5351,0.4359
toplessmonument,2,0.2425,0.2484,0.2389
whitby-pier,2,0.4976,0.4004,0.316
yack1,2,0.8317,0.6138,0.5
yokohm060409_dyjsn266,2,0.7468,0.687,0.8324
_3076180_cropped,2,0.6269,0.5861,0.566
_3076180_cropped2,2,0.3653,0.554,0.5554
_5161812,2,0.4132,0.5432,0.4669
_mg_5707,2,0.4137,0.8183,0.3231
