Image Name,No of Obj,WARem_multiband,N-Cut,RAG Merging
0677845-r1-067-32_a,1,0.8565,0.8587,0.8791
100_0109,1,0.9629,0.4403,0.3429
100_0497,1,0.5747,0.4056,0.3611
110016671724,1,0.8741,0.802,0.3576
112255696146,1,0.7685,0.7645,0.7201
113334665744,1,0.8592,0.6035,0.4195
114591144943,1,0.7788,0.5637,0.5143
20060319_087,1,0.5244,0.3714,0.3499
aaa,1,0.6441,0.6514,0.2791
animal_5_bg_020803,1,0.6831,0.5111,0.3285
b14pavel013,1,0.6043,0.9288,0.3119
b19objects118,1,0.4304,0.265,0.2292
b1chesnuttame,1,0.3835,0.2674,0.2828
b1snake001,1,0.3219,0.3624,0.301
b20nature_landscapes129,1,0.4624,0.5767,0.3643
b2chopper008,1,0.9592,0.9545,0.7342
b2pods001,1,0.3232,0.3985,0.2547
b4nature_animals_land009,1,0.4317,0.6931,0.6764
b7nature_trees002,1,0.5432,0.5197,0.3867
bbmf_lancaster_july_06,1,0.9693,0.9562,0.6091
beltaine_4_bg_050502,1,0.9774,0.4753,0.4753
boy_float_lake,1,0.897,0.8602,0.3801
bream_in_basin,1,0.9814,0.984,0.5551
broom07,1,0.4162,0.7739,0.5849
buggy_005,1,0.4656,0.2684,0.2439
bw4,1,0.6364,0.7344,0.6452
carriage,1,0.4977,0.4043,0.2985
carrigafoyle_castle_ext,1,0.6899,0.6926,0.6668
caterpiller,1,0.7527,0.6781,0.6703
chain98,1,0.9894,0.7054,0.5957
chaom38,1,0.4965,0.4263,0.4382
cheeky_penguin,1,0.3411,0.3242,0.2338
crw_0384,1,0.681,0.5885,0.6319
culzeancastle,1,0.5942,0.5975,0.5583
dsc01236,1,0.3474,0.759,0.7994
dsc01239_d,1,0.4408,0.5627,0.2511
dsc04575,1,0.9856,0.9624,0.3134
dscf0034_l,1,0.5774,0.5847,0.4754
dscf0459,1,0.7907,0.7146,0.7752
dscf3583,1,0.4564,0.7061,0.3597
dscf3623,1,0.9224,0.5114,0.3773
dscf3772,1,0.3799,0.7388,0.639
dscn0756,1,0.3276,0.5128,0.4541
dscn1908,1,0.6657,0.5295,0.5067
dscn2064,1,0.7779,0.8033,0.3381
dscn2154,1,0.5119,0.6653,0.4891
dscn6805,1,0.4435,0.6002,0.5767
dsc_0769,1,0.712,0.4327,0.3116
dsc_0959,1,0.715,0.5849,0.5763
dsc_422910022,1,0.7843,0.9078,0.6551
egret_face,1,0.933,0.9009,0.8739
estb_img_6461_,1,0.6776,0.7919,0.7133
europe_holiday_484,1,0.8757,0.8183,0.7111
fullicewater,1,0.4421,0.6115,0.5595
hot_air_balloons_05,1,0.7717,0.5987,0.5062
hpim1242,1,0.553,0.8898,0.3609
hpim5083_morguefile,1,0.7108,0.5767,0.5816
imagen_072__1_,1,0.9336,0.8543,0.6739
imgp2712,1,0.5332,0.8759,0.4027
img_1516,1,0.7459,0.6789,0.499
img_1965,1,0.8091,0.6671,0.3816
img_2528,1,0.5929,0.5427,0.5164
img_2577,1,0.9287,0.8453,0.8135
img_2592_f,1,0.7776,0.2412,0.2309
img_3083_modif,1,0.8421,0.3648,0.3366
img_3803,1,0.4949,0.2571,0.2061
img_4214,1,0.4574,0.4937,0.4226
img_4730_modif,1,0.534,0.5285,0.3894
img_7359_copia,1,0.8728,0.8644,0.7543
ireland_62_bg_061502,1,0.4915,0.5149,0.518
kconnors030466,1,0.7472,0.7231,0.7212
leafpav,1,0.8609,0.9118,0.7813
london_zoo3,1,0.3087,0.8109,0.8052
matsumt060102_dyj08,1,0.366,0.3661,0.2806
mexico3,1,0.5671,0.5145,0.5082
moth061304_0679,1,0.944,0.9674,0.5659
nitpix_p1280114,1,0.9873,0.964,0.9476
osaka060102_dyjsn071,1,0.6159,0.7184,0.375
oscar2005_05_07,1,0.7152,0.6661,0.4633
outside_guggenheim_walls,1,0.9902,0.3917,0.9561
palovigna,1,0.4785,0.5481,0.5317
pic0203vn0092,1,0.6143,0.4806,0.627
pic0203vn0105,1,0.8789,0.8493,0.8103
pic106470172014,1,0.406,0.3245,0.2368
pic1080629574,1,0.7994,0.7464,0.7018
pic109250805856,1,0.9414,0.425,0.2948
pic1092515922117,1,0.8169,0.722,0.3878
pict2272,1,0.8565,0.9364,0.329
pict2605,1,0.7913,0.5659,0.2612
picture_458,1,0.7474,0.943,0.6449
postjp,1,0.6088,0.5364,0.3018
redberry_rb03,1,0.9288,0.574,0.3181
san_andres_130,1,0.9113,0.6394,0.6496
sg_01_img_1943_tratada,1,0.5906,0.3047,0.3047
sharp_image,1,0.5758,0.3898,0.3783
skookumchuk_starfish1,1,0.6188,0.4235,0.6273
snow2_004,1,0.9075,0.754,0.6495
tendrils,1,0.6494,0.6236,0.3068
windowcn_0078,1,0.4163,0.6027,0.5693
yokohm060409_dyjsn191,1,0.9507,0.532,0.5591
00000155,2,0.5504,0.8854,0.1899
000_4009,2,0.4076,0.613,0.6651
100_1219,2,0.9838,0.924,0.924
109300481333,2,0.8663,0.7173,0.4167
110932821430,2,0.7887,0.5655,0.4265
111876273311,2,0.9485,0.8582,0.8033
112224059330,2,0.5532,0.9173,0.86
11257554021,2,0.919,0.8659,0.7807
2_horses_cropped,2,0.3618,0.3143,0.4603
77200701,2,0.4104,0.4702,0.2974
alanmort_p1010058,2,0.8925,0.9014,0.6598
